system:index,id,mean,.geo
0,4094,0.4350408953938872,"{""type"":""Point"",""coordinates"":[-118.47950281078494,35.73429188580542]}"
1,4095,0.5392224329533025,"{""type"":""Point"",""coordinates"":[-118.62668683320085,35.735400822963484]}"
2,4096,0.4566471336995287,"{""type"":""Point"",""coordinates"":[-118.47950882834158,35.73423225050536]}"
3,4097,0.3245491849565184,"{""type"":""Point"",""coordinates"":[-118.43377642661002,35.77460736133401]}"
4,4098,0.14801806322127448,"{""type"":""Point"",""coordinates"":[-118.98618687136353,35.45321872910825]}"
5,4099,0.10819218804009678,"{""type"":""Point"",""coordinates"":[-118.98663225711441,35.45114410215561]}"
6,4100,0.22003494740298576,"{""type"":""Point"",""coordinates"":[-119.11426767804848,35.73280903847804]}"
7,4101,0.16541229013315692,"{""type"":""Point"",""coordinates"":[-119.06748271495499,35.75771111763604]}"
8,4102,0.6546285509454252,"{""type"":""Point"",""coordinates"":[-119.21414444208538,35.71521983563147]}"
9,4103,0.7379604911906034,"{""type"":""Point"",""coordinates"":[-119.2252258167914,35.75322088949811]}"
10,4104,0.11150918047469771,"{""type"":""Point"",""coordinates"":[-119.15639307268242,35.780195775416225]}"
11,4105,0.43524331624161655,"{""type"":""Point"",""coordinates"":[-118.83588003247668,35.17189789365889]}"
12,4106,0.3340712939100956,"{""type"":""Point"",""coordinates"":[-118.75190856367641,35.23124197346703]}"
13,4107,0.24376668918701544,"{""type"":""Point"",""coordinates"":[-118.80114676415107,34.781364377714446]}"
14,4108,0.34563556776242377,"{""type"":""Point"",""coordinates"":[-118.8492443471909,34.827541047483045]}"
15,4109,0.245716821119929,"{""type"":""Point"",""coordinates"":[-118.93113838912626,34.82175311040121]}"
16,4110,0.2049727600600871,"{""type"":""Point"",""coordinates"":[-118.45338090159417,35.70289555489511]}"
17,4111,0.23840606411538662,"{""type"":""Point"",""coordinates"":[-118.49773996473974,35.60687391021977]}"
18,4112,0.2725835621943868,"{""type"":""Point"",""coordinates"":[-118.33484216236658,35.65292616322853]}"
19,4113,0.25513655725382106,"{""type"":""Point"",""coordinates"":[-118.44069813597696,35.647381596608625]}"
20,4114,0.5921312214644046,"{""type"":""Point"",""coordinates"":[-118.48242622151315,35.643156676826905]}"
21,4115,0.2965101682149134,"{""type"":""Point"",""coordinates"":[-118.51442730411166,35.53882021627682]}"
22,4116,0.24994067788566496,"{""type"":""Point"",""coordinates"":[-118.52010293660628,35.444007053797215]}"
23,4117,0.3258189652137793,"{""type"":""Point"",""coordinates"":[-118.43184949974972,35.369476951628045]}"
24,4118,0.5386334610472542,"{""type"":""Point"",""coordinates"":[-118.4027088076832,35.21439404104809]}"
25,4119,0.09148710702931824,"{""type"":""Point"",""coordinates"":[-118.37659505045552,35.12385616729025]}"
26,4120,0.2777007002651649,"{""type"":""Point"",""coordinates"":[-118.42957700184472,35.110550978798486]}"
27,4121,0.22104471244489504,"{""type"":""Point"",""coordinates"":[-118.53124132807898,35.10960013573801]}"
28,4122,0.12306525464198433,"{""type"":""Point"",""coordinates"":[-118.37910214985752,35.10978913107757]}"
29,4123,0.23153777894633057,"{""type"":""Point"",""coordinates"":[-118.37664856085274,35.086803626856245]}"
30,4124,0.24938820912124582,"{""type"":""Point"",""coordinates"":[-118.36256283678686,35.058872942733416]}"
31,4125,0.23435075012933268,"{""type"":""Point"",""coordinates"":[-118.35718795587562,35.092023916032076]}"
32,4126,0.24433205441227765,"{""type"":""Point"",""coordinates"":[-118.35783761719742,35.104637781082715]}"
33,4127,0.2961219457520735,"{""type"":""Point"",""coordinates"":[-118.3791964861763,35.098754645338666]}"
34,4128,0.2996757907640692,"{""type"":""Point"",""coordinates"":[-118.30650346553345,35.16590524086397]}"
35,4129,0.2238458309069487,"{""type"":""Point"",""coordinates"":[-118.32154994501558,35.103546175700345]}"
36,4130,0.2876862101954353,"{""type"":""Point"",""coordinates"":[-118.37206992270698,35.093731283784635]}"
37,4131,0.23353293413173654,"{""type"":""Point"",""coordinates"":[-118.31580640575585,35.052954711578494]}"
38,4132,0.23524267599475296,"{""type"":""Point"",""coordinates"":[-118.31596295908541,35.05295975280891]}"
39,4133,0.07841345275086822,"{""type"":""Point"",""coordinates"":[-118.31024625181584,35.07846198742755]}"
40,4134,0.2168687401159726,"{""type"":""Point"",""coordinates"":[-118.31306480769166,35.07336290271281]}"
41,4135,0.2618123069074006,"{""type"":""Point"",""coordinates"":[-118.30692668233117,35.078493898766034]}"
42,4136,0.22379120628653373,"{""type"":""Point"",""coordinates"":[-118.24802367515379,35.05356910966919]}"
43,4137,0.1796508353669983,"{""type"":""Point"",""coordinates"":[-118.08946041782589,34.988896533526585]}"
44,4138,0.15595118449389805,"{""type"":""Point"",""coordinates"":[-118.09778543460234,34.87667856194587]}"
45,4139,0.2516610539728771,"{""type"":""Point"",""coordinates"":[-118.14436150863374,34.83574734142878]}"
46,4140,0.043868739205526815,"{""type"":""Point"",""coordinates"":[-118.19794549270824,34.83661640957207]}"
47,4141,0.21388069857110456,"{""type"":""Point"",""coordinates"":[-118.24564321130492,34.7768573106985]}"
48,4142,0.203447493762758,"{""type"":""Point"",""coordinates"":[-118.28387170693581,34.72954076813719]}"
49,4143,0.19600222098833975,"{""type"":""Point"",""coordinates"":[-118.28207059835277,34.798954143700044]}"
50,4144,0.15815634884771798,"{""type"":""Point"",""coordinates"":[-118.26994271600599,35.05594583666065]}"
51,4145,0.151469032461627,"{""type"":""Point"",""coordinates"":[-118.27659463517396,35.04428326407272]}"
52,4146,0.15529677131691455,"{""type"":""Point"",""coordinates"":[-118.27382233766758,35.04950513836216]}"
53,4147,0.21035007610350076,"{""type"":""Point"",""coordinates"":[-118.3207511362421,35.060887796825796]}"
54,4148,0.20881997583568265,"{""type"":""Point"",""coordinates"":[-118.28606213080876,34.93728549027565]}"
55,4149,0.15232952404872535,"{""type"":""Point"",""coordinates"":[-118.32107058254115,34.87283006520482]}"
56,4150,0.2147164695432659,"{""type"":""Point"",""coordinates"":[-118.30352855306347,34.689498745567924]}"
